,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month,url,lat,long
0,1550150035,3283 SHAKERLEY PARK,11/6/20,320000,2006,2377,3283%20Shakerley%20Park%20Douglas%20County%20GA,01550150035-11/6/2020-320000.0,134.623475,2020,2020,11,2020-11,https://www.google.com/maps/search/3283%20Shakerley%20Park%20Douglas%20County%20GA,33.7113874,-84.6463125
1,3651820047,6740 MARSH AVE,11/13/20,155000,1947,1345,6740%20Marsh%20Ave%20Douglas%20County%20GA,03651820047-11/13/2020-155000.0,115.2416357,2020,2020,11,2020-11,https://www.google.com/maps/search/6740%20Marsh%20Ave%20Douglas%20County%20GA,33.7908553,-84.6617049
2,790150144,201 HAVEN CIR,11/16/20,365990,2018,2639,201%20Haven%20Cir%20Douglas%20County%20GA,00790150144-11/16/2020-365990.0,138.685108,2020,2020,11,2020-11,https://www.google.com/maps/search/201%20Haven%20Cir%20Douglas%20County%20GA,33.742376,-84.712009
3,850150064,2961 NAIRN CT,11/23/20,237500,2006,2048,2961%20Nairn%20Ct%20Douglas%20County%20GA,00850150064-11/23/2020-237500.0,115.9667969,2020,2020,11,2020-11,https://www.google.com/maps/search/2961%20Nairn%20Ct%20Douglas%20County%20GA,33.7247831,-84.6970393
4,840150079,3889 LANDMARK DR,11/30/20,260000,1997,2025,3889%20Landmark%20Dr%20Douglas%20County%20GA,00840150079-11/30/2020-260000.0,128.3950617,2020,2020,11,2020-11,https://www.google.com/maps/search/3889%20Landmark%20Dr%20Douglas%20County%20GA,33.7337235,-84.7034911
5,870250055,8441 LOUISVILLE DR,11/20/20,201000,1992,1536,8441%20Louisville%20Dr%20Douglas%20County%20GA,00870250055-11/20/2020-201000.0,130.859375,2020,2020,11,2020-11,https://www.google.com/maps/search/8441%20Louisville%20Dr%20Douglas%20County%20GA,33.6910992,-84.8513157
6,100150031,5451 S LAKE DR,11/10/20,219900,1975,1530,5451%20S%20Lake%20Dr%20Douglas%20County%20GA,00100150031-11/10/2020-219900.0,143.7254902,2020,2020,11,2020-11,https://www.google.com/maps/search/5451%20S%20Lake%20Dr%20Douglas%20County%20GA,33.7015018,-84.7536109
7,270150133,4970 HORTON PL,11/5/20,160000,1972,1645,4970%20Horton%20Pl%20Douglas%20County%20GA,00270150133-11/5/2020-160000.0,97.26443769,2020,2020,11,2020-11,https://www.google.com/maps/search/4970%20Horton%20Pl%20Douglas%20County%20GA,33.7010492,-84.7378205
8,550150055,2814 TIMBER VALLEY DR,11/6/20,110500,1977,1286,2814%20Timber%20Valley%20Dr%20Douglas%20County%20GA,00550150055-11/6/2020-110500.0,85.92534992,2020,2020,11,2020-11,https://www.google.com/maps/search/2814%20Timber%20Valley%20Dr%20Douglas%20County%20GA,33.7294026,-84.7251484
9,2041820031,14 ROBIN RD,11/20/20,110000,1956,966,14%20Robin%20Rd%20Douglas%20County%20GA,02041820031-11/20/2020-110000.0,113.8716356,2020,2020,11,2020-11,https://www.google.com/maps/search/14%20Robin%20Rd%20Douglas%20County%20GA,33.802996,-84.6316806
